x,q1,q2,q3
0.778779,0.197376,0.130946,1.116596
0.779780,0.197376,0.130946,1.116596
0.780781,0.195682,0.128062,1.110976
0.781782,0.195682,0.128062,1.110976
0.782783,0.194011,0.125226,1.105420
0.783784,0.194011,0.125226,1.105420
0.784785,0.192363,0.122437,1.099930
0.785786,0.192363,0.122437,1.099930
0.786787,0.190739,0.119695,1.094507
0.787788,0.190739,0.119695,1.094507
0.788789,0.189138,0.117002,1.089153
0.789790,0.189138,0.117002,1.089153
0.790791,0.187562,0.114356,1.083868
0.791792,0.187562,0.114356,1.083868
0.792793,0.186010,0.111759,1.078653
0.793794,0.186010,0.111759,1.078653
0.794795,0.184482,0.109210,1.073509
0.795796,0.184482,0.109210,1.073509
0.796797,0.182979,0.106709,1.068437
0.797798,0.182979,0.106709,1.068437
0.798799,0.181501,0.104257,1.063438
0.799800,0.181501,0.104257,1.063438
0.800801,0.180047,0.101852,1.058512
0.801802,0.180047,0.101852,1.058512
0.802803,0.178618,0.099496,1.053661
0.803804,0.178618,0.099496,1.053661
0.804805,0.177214,0.097189,1.048885
0.805806,0.177214,0.097189,1.048885
0.806807,0.175835,0.094929,1.044185
0.807808,0.175835,0.094929,1.044185
0.808809,0.174481,0.092717,1.039560
0.809810,0.174481,0.092717,1.039560
0.810811,0.173152,0.090552,1.035012
0.811812,0.173152,0.090552,1.035012
0.812813,0.171848,0.088435,1.030541
0.813814,0.171848,0.088435,1.030541
0.814815,0.170569,0.086365,1.026147
0.815816,0.170569,0.086365,1.026147
0.816817,0.169315,0.084342,1.021831
0.817818,0.169315,0.084342,1.021831
0.818819,0.168086,0.082365,1.017593
0.819820,0.168086,0.082365,1.017593
0.820821,0.166882,0.080434,1.013433
0.821822,0.166882,0.080434,1.013433
0.822823,0.165703,0.078549,1.009350
0.823824,0.165703,0.078549,1.009350
0.824825,0.164549,0.076709,1.005346
0.825826,0.164549,0.076709,1.005346
0.826827,0.163419,0.074913,1.001420
0.827828,0.163419,0.074913,1.001420
0.828829,0.162313,0.073163,0.997572
0.829830,0.162313,0.073163,0.997572
0.830831,0.161232,0.071456,0.993802
0.831832,0.161232,0.071456,0.993802
0.832833,0.160175,0.069792,0.990110
0.833834,0.160175,0.069792,0.990110
0.834835,0.159141,0.068171,0.986495
0.835836,0.159141,0.068171,0.986495
0.836837,0.158132,0.066592,0.982958
0.837838,0.158132,0.066592,0.982958
0.838839,0.157146,0.065055,0.979497
0.839840,0.157146,0.065055,0.979497
0.840841,0.156184,0.063559,0.976113
0.841842,0.156184,0.063559,0.976113
0.842843,0.155244,0.062103,0.972805
0.843844,0.155244,0.062103,0.972805
0.844845,0.154328,0.060687,0.969572
0.845846,0.154328,0.060687,0.969572
0.846847,0.153434,0.059310,0.966414
0.847848,0.153434,0.059310,0.966414
0.848849,0.152562,0.057971,0.963331
0.849850,0.152562,0.057971,0.963331
0.850851,0.151713,0.056671,0.960321
0.851852,0.151713,0.056671,0.960321
0.852853,0.150885,0.055407,0.957384
0.853854,0.150885,0.055407,0.957384
0.854855,0.150079,0.054180,0.954519
0.855856,0.150079,0.054180,0.954519
0.856857,0.149295,0.052989,0.951727
0.857858,0.149295,0.052989,0.951727
0.858859,0.148531,0.051833,0.949004
0.859860,0.148531,0.051833,0.949004
0.860861,0.147788,0.050712,0.946352
0.861862,0.147788,0.050712,0.946352
0.862863,0.147065,0.049624,0.943769
0.863864,0.147065,0.049624,0.943769
0.864865,0.146362,0.048569,0.941253
0.865866,0.146362,0.048569,0.941253
0.866867,0.145678,0.047546,0.938805
0.867868,0.145678,0.047546,0.938805
0.868869,0.145014,0.046555,0.936423
0.869870,0.145014,0.046555,0.936423
0.870871,0.144369,0.045595,0.934107
0.871872,0.144369,0.045595,0.934107
0.872873,0.143743,0.044665,0.931855
0.873874,0.143743,0.044665,0.931855
0.874875,0.143135,0.043764,0.929665
0.875876,0.143135,0.043764,0.929665
0.876877,0.142545,0.042893,0.927538
0.877878,0.142545,0.042893,0.927538
0.878879,0.141972,0.042049,0.925473
0.879880,0.141972,0.042049,0.925473
0.880881,0.141417,0.041233,0.923467
0.881882,0.141417,0.041233,0.923467
0.882883,0.140878,0.040444,0.921520
0.883884,0.140878,0.040444,0.921520
0.884885,0.140357,0.039680,0.919631
0.885886,0.140357,0.039680,0.919631
0.886887,0.139851,0.038942,0.917799
0.887888,0.139851,0.038942,0.917799
0.888889,0.139361,0.038229,0.916022
0.889890,0.139361,0.038229,0.916022
0.890891,0.138886,0.037540,0.914300
0.891892,0.138886,0.037540,0.914300
0.892893,0.138427,0.036875,0.912631
0.893894,0.138427,0.036875,0.912631
0.894895,0.137983,0.036232,0.911014
0.895896,0.137983,0.036232,0.911014
0.896897,0.137552,0.035611,0.909449
0.897898,0.137552,0.035611,0.909449
0.898899,0.137136,0.035012,0.907933
0.899900,0.137136,0.035012,0.907933
0.900901,0.136734,0.034434,0.906466
0.901902,0.136734,0.034434,0.906466
0.902903,0.136345,0.033877,0.905047
0.903904,0.136345,0.033877,0.905047
0.904905,0.135969,0.033339,0.903675
0.905906,0.135969,0.033339,0.903675
0.906907,0.135606,0.032820,0.902348
0.907908,0.135606,0.032820,0.902348
0.908909,0.135256,0.032320,0.901065
0.909910,0.135256,0.032320,0.901065
0.910911,0.134917,0.031838,0.899826
0.911912,0.134917,0.031838,0.899826
0.912913,0.134590,0.031374,0.898629
0.913914,0.134590,0.031374,0.898629
0.914915,0.134275,0.030927,0.897473
0.915916,0.134275,0.030927,0.897473
0.916917,0.133970,0.030496,0.896358
0.917918,0.133970,0.030496,0.896358
0.918919,0.133677,0.030081,0.895281
0.919920,0.133677,0.030081,0.895281
0.920921,0.133394,0.029682,0.894242
0.921922,0.133394,0.029682,0.894242
0.922923,0.133121,0.029298,0.893241
0.923924,0.133121,0.029298,0.893241
